State_Code,State_Name,Region_Code
S1,Kentucky,3
S2,California,4
S3,Florida,3
S4,North Carolina,3
S5,Washington,4
S6,Texas,1
S7,Wisconsin,1
S8,Utah,4
S9,Nebraska,1
S10,Pennsylvania,2
S11,Illinois,1
S12,Minnesota,1
S13,Michigan,1
S14,Delaware,2
S15,Indiana,1
S16,New York,2
S17,Arizona,4
S18,Virginia,3
S19,Tennessee,3
S20,Alabama,3
S21,South Carolina,3
S22,Oregon,4
S23,Colorado,4
S24,Iowa,1
S25,Ohio,2
S26,Missouri,1
S27,Oklahoma,1
S28,New Mexico,4
S29,Louisiana,3
S30,Connecticut,2
S31,New Jersey,2
S32,Massachusetts,2
S33,Georgia,3
S34,Nevada,4
S35,Rhode Island,2
S36,Mississippi,3
S37,Arkansas,3
S38,Montana,4
S39,New Hampshire,2
S40,Maryland,2
S41,District of Columbia,2
S42,Kansas,1
S43,Vermont,2
S44,Maine,2
S45,South Dakota,1
S46,Idaho,4
S47,North Dakota,1
S48,Wyoming,4
S49,West Virginia,2
